gemeinde;bezirk;nationalitaet;konfession;anzahl_personen;prozent_personen
Aesch (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1763;0.00585809650075926
Aesch (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;2335;0.007758738133450296
Aesch (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;16;5.3164800914434574e-5
Aesch (BL);Bezirk Arlesheim;Schweiz;Unbekannt;3771;0.012530279015520798
Aesch (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;71;2.3591880405780344e-4
Aesch (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;678;0.002252858438749165
Aesch (BL);Bezirk Arlesheim;Ausland;Christkatholisch;13;4.319640074297809e-5
Aesch (BL);Bezirk Arlesheim;Ausland;Unbekannt;2181;0.007247026924648863
Allschwil;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;3569;0.011859073403976062
Allschwil;Bezirk Arlesheim;Schweiz;Römisch-katholisch;3335;0.011081538190602458
Allschwil;Bezirk Arlesheim;Schweiz;Christkatholisch;173;5.748444098873239e-4
Allschwil;Bezirk Arlesheim;Schweiz;Unbekannt;8331;0.027682247276134653
Allschwil;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;232;7.708896132593014e-4
Allschwil;Bezirk Arlesheim;Ausland;Römisch-katholisch;1168;0.003881030466753724
Allschwil;Bezirk Arlesheim;Ausland;Christkatholisch;44;0.00014620320251469509
Allschwil;Bezirk Arlesheim;Ausland;Unbekannt;5402;0.017949765908735975
Arlesheim;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1935;0.0064296181105894315
Arlesheim;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1827;0.006070755704416998
Arlesheim;Bezirk Arlesheim;Schweiz;Christkatholisch;17;5.6487600971586734e-5
Arlesheim;Bezirk Arlesheim;Schweiz;Unbekannt;3584;0.011908915404833345
Arlesheim;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;123;4.087044070297158e-4
Arlesheim;Bezirk Arlesheim;Ausland;Römisch-katholisch;406;0.0013490568232037775
Arlesheim;Bezirk Arlesheim;Ausland;Christkatholisch;2;6.645600114304322e-6
Arlesheim;Bezirk Arlesheim;Ausland;Unbekannt;1517;0.005040687686699828
Biel-Benken;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1083;0.00359859246189579
Biel-Benken;Bezirk Arlesheim;Schweiz;Römisch-katholisch;621;0.002063458835491492
Biel-Benken;Bezirk Arlesheim;Schweiz;Christkatholisch;10;3.322800057152161e-5
Biel-Benken;Bezirk Arlesheim;Schweiz;Unbekannt;1275;0.004236570072869005
Biel-Benken;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;37;1.2294360211462994e-4
Biel-Benken;Bezirk Arlesheim;Ausland;Römisch-katholisch;103;3.422484058866726e-4
Biel-Benken;Bezirk Arlesheim;Ausland;Christkatholisch;3;9.968400171456483e-6
Biel-Benken;Bezirk Arlesheim;Ausland;Unbekannt;443;0.0014720004253184072
Binningen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;3062;0.010174413774999917
Binningen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2166;0.00719718492379158
Binningen;Bezirk Arlesheim;Schweiz;Christkatholisch;37;1.2294360211462994e-4
Binningen;Bezirk Arlesheim;Schweiz;Unbekannt;5847;0.019428411934168686
Binningen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;195;6.479460111446714e-4
Binningen;Bezirk Arlesheim;Ausland;Römisch-katholisch;614;0.0020401992350914267
Binningen;Bezirk Arlesheim;Ausland;Christkatholisch;13;4.319640074297809e-5
Binningen;Bezirk Arlesheim;Ausland;Unbekannt;3847;0.012782811819864364
Birsfelden;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1662;0.005522493694986892
Birsfelden;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1407;0.00467517968041309
Birsfelden;Bezirk Arlesheim;Schweiz;Christkatholisch;9;2.9905200514369447e-5
Birsfelden;Bezirk Arlesheim;Schweiz;Unbekannt;3809;0.012656545417692582
Birsfelden;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;135;4.4857800771554173e-4
Birsfelden;Bezirk Arlesheim;Ausland;Römisch-katholisch;613;0.0020368764350342746
Birsfelden;Bezirk Arlesheim;Ausland;Christkatholisch;36;1.1962080205747779e-4
Birsfelden;Bezirk Arlesheim;Ausland;Unbekannt;2765;0.009187542158025724
Bottmingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1396;0.004638628879784417
Bottmingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1017;0.0033792876581237477
Bottmingen;Bezirk Arlesheim;Schweiz;Christkatholisch;21;6.977880120019538e-5
Bottmingen;Bezirk Arlesheim;Schweiz;Unbekannt;2575;0.008556210147166815
Bottmingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;86;2.8576080491508584e-4
Bottmingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;279;9.270612159454529e-4
Bottmingen;Bezirk Arlesheim;Ausland;Christkatholisch;13;4.319640074297809e-5
Bottmingen;Bezirk Arlesheim;Ausland;Unbekannt;1654;0.005495911294529674
Ettingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1115;0.0037049220637246595
Ettingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1451;0.0048213828829277855
Ettingen;Bezirk Arlesheim;Schweiz;Christkatholisch;5;1.6614000285760806e-5
Ettingen;Bezirk Arlesheim;Schweiz;Unbekannt;1980;0.006579144113161278
Ettingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;49;1.628172028004559e-4
Ettingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;268;8.905104153167792e-4
Ettingen;Bezirk Arlesheim;Ausland;Christkatholisch;11;3.655080062867377e-5
Ettingen;Bezirk Arlesheim;Ausland;Unbekannt;777;0.0025818156444072293
Münchenstein;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2281;0.007579306930364079
Münchenstein;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1707;0.005672019697558739
Münchenstein;Bezirk Arlesheim;Schweiz;Christkatholisch;19;6.313320108589106e-5
Münchenstein;Bezirk Arlesheim;Schweiz;Unbekannt;4857;0.016138839877588046
Münchenstein;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;103;3.422484058866726e-4
Münchenstein;Bezirk Arlesheim;Ausland;Römisch-katholisch;638;0.0021199464364630785
Münchenstein;Bezirk Arlesheim;Ausland;Christkatholisch;4;1.3291200228608643e-5
Münchenstein;Bezirk Arlesheim;Ausland;Unbekannt;2785;0.009253998159168768
Muttenz;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;4630;0.015384564264614506
Muttenz;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2743;0.009114440556768378
Muttenz;Bezirk Arlesheim;Schweiz;Christkatholisch;34;1.1297520194317347e-4
Muttenz;Bezirk Arlesheim;Schweiz;Unbekannt;6642;0.02207003797960465
Muttenz;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;187;6.21363610687454e-4
Muttenz;Bezirk Arlesheim;Ausland;Römisch-katholisch;907;0.00301377965183701
Muttenz;Bezirk Arlesheim;Ausland;Christkatholisch;2;6.645600114304322e-6
Muttenz;Bezirk Arlesheim;Ausland;Unbekannt;3181;0.010569826981801023
Oberwil (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2266;0.007529464929506797
Oberwil (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;2012;0.006685473714990148
Oberwil (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;31;1.03006801771717e-4
Oberwil (BL);Bezirk Arlesheim;Schweiz;Unbekannt;4374;0.014533927449983552
Oberwil (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;99;3.2895720565806393e-4
Oberwil (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;375;0.0012460500214320604
Oberwil (BL);Bezirk Arlesheim;Ausland;Christkatholisch;8;2.6582400457217287e-5
Oberwil (BL);Bezirk Arlesheim;Ausland;Unbekannt;2426;0.008061112938651143
Pfeffingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;477;0.0015849756272615808
Pfeffingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;641;0.002129914836634535
Pfeffingen;Bezirk Arlesheim;Schweiz;Christkatholisch;3;9.968400171456483e-6
Pfeffingen;Bezirk Arlesheim;Schweiz;Unbekannt;857;0.002847639648979402
Pfeffingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;33;1.0965240188602131e-4
Pfeffingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;58;1.9272240331482535e-4
Pfeffingen;Bezirk Arlesheim;Ausland;Unbekannt;354;0.001176271220231865
Reinach (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;3744;0.01244056341397769
Reinach (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;3749;0.012457177414263452
Reinach (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;44;0.00014620320251469509
Reinach (BL);Bezirk Arlesheim;Schweiz;Unbekannt;7468;0.024814670826812338
Reinach (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;159;5.283252090871936e-4
Reinach (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;803;0.0026682084458931853
Reinach (BL);Bezirk Arlesheim;Ausland;Christkatholisch;2;6.645600114304322e-6
Reinach (BL);Bezirk Arlesheim;Ausland;Unbekannt;4333;0.014397692647640313
Schönenbuch;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;351;0.0011663028200604086
Schönenbuch;Bezirk Arlesheim;Schweiz;Römisch-katholisch;320;0.0010632960182886916
Schönenbuch;Bezirk Arlesheim;Schweiz;Christkatholisch;9;2.9905200514369447e-5
Schönenbuch;Bezirk Arlesheim;Schweiz;Unbekannt;563;0.0018707364321766666
Schönenbuch;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;16;5.3164800914434574e-5
Schönenbuch;Bezirk Arlesheim;Ausland;Römisch-katholisch;35;1.1629800200032564e-4
Schönenbuch;Bezirk Arlesheim;Ausland;Unbekannt;181;6.014268103445411e-4
Therwil;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2229;0.0074065213273921664
Therwil;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2116;0.0070310449209339725
Therwil;Bezirk Arlesheim;Schweiz;Christkatholisch;31;1.03006801771717e-4
Therwil;Bezirk Arlesheim;Schweiz;Unbekannt;3766;0.012513665015235037
